scenario,seed,planner,success,length,max_kappa,elapsed,collision_free,cv,cv_opt,feasible,n_obs,kappa_max,radius,nsampling,th_start,th_goal,start_x,start_y,goal_x,goal_y,xmin,xmax,ymin,ymax
prog05_seed0,0,rrt_star,True,3.480880475026294,,1.5270616300000484,True,0.09563720808322179,,False,5,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog05_seed0,0,rrt_star_smooth,True,3.4476733452608217,0.7616632801296858,1.6653903239999863,True,0.0,,True,5,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog05_seed0,0,rrt_star_dubins,True,3.4177954986833994,1.36986301369863,82.72059120700004,True,0.5415275521818201,,False,5,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog05_seed0,0,modified_dubins_rrt_star_ccpoa,True,11.48280690202851,1.36986301369863,221.40818391500005,False,17.02579033714835,,False,5,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog05_seed0,0,rrt_star_asv,True,3.4054979345075855,1.3698630136991228,54.925421158999995,True,0.8414307015236968,,False,5,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog05_seed0,0,de2d_nurbs,True,3.431187935218508,1.5329184449065976,2.9023061849999863,True,0.0,0.6862275870437017,True,5,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog05_seed0,0,pso2d_nurbs,True,3.426717196279647,1.5896810376078205,14.082029621000004,True,5.175123979334419e-06,0.171503196677311,False,5,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog06_seed0,0,rrt_star,True,3.480880475026294,,2.9188272530000177,True,0.09563720808322179,,False,6,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog06_seed0,0,rrt_star_smooth,True,3.4476733452608217,0.7616632801296858,1.5470896499999753,True,0.0,,True,6,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog06_seed0,0,rrt_star_dubins,True,12.476104504384946,1.36986301369863,99.83631992900001,True,107.75556952054174,,False,6,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog06_seed0,0,modified_dubins_rrt_star_ccpoa,True,11.48280690202851,1.36986301369863,225.51361330099996,False,17.02579033714835,,False,6,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog06_seed0,0,rrt_star_asv,True,3.712391387711513,1.369863013698782,53.89838619799997,True,1.0952326630148546,,False,6,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog06_seed0,0,de2d_nurbs,True,3.535646734705069,1.4009722998254222,2.7170642369999882,True,0.0,0.7071193469410139,True,6,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog06_seed0,0,pso2d_nurbs,True,3.437988773721914,1.5937286892237086,5.495885412000007,True,5.045471053404442e-06,0.1720629014144931,False,6,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog07_seed0,0,rrt_star,True,3.46618269702934,,1.547810496000011,True,0.09550713249209432,,False,7,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog07_seed0,0,rrt_star_smooth,True,3.4313824869927796,0.7003845818357703,2.1441575000000057,True,0.0,,True,7,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog07_seed0,0,rrt_star_dubins,True,12.476104504384946,1.36986301369863,56.51278471699999,True,107.75556952054174,,False,7,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog07_seed0,0,modified_dubins_rrt_star_ccpoa,True,11.48280690202851,1.36986301369863,501.96459898099994,False,17.02579033714835,,False,7,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog07_seed0,0,rrt_star_asv,True,3.712391387711513,1.369863013698782,49.24187982699999,True,1.0952326630148546,,False,7,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog07_seed0,0,de2d_nurbs,True,3.532594935711796,1.5414357004607808,1.441181978999964,True,0.0,0.7065089871423593,True,7,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog07_seed0,0,pso2d_nurbs,True,3.442744780819945,1.578651869983314,5.4514700439999615,True,6.894424413301907e-06,0.17236459647765373,False,7,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog08_seed0,0,rrt_star,True,3.5014904785913883,,2.1158288409999955,True,0.0,,True,8,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog08_seed0,0,rrt_star_smooth,True,3.5014904785913883,,1.6346185749999904,True,0.0,,True,8,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog08_seed0,0,rrt_star_dubins,True,18.669780611950095,1.36986301369863,52.202962481999975,True,190.15912101753943,,False,8,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog08_seed0,0,modified_dubins_rrt_star_ccpoa,True,8.46157046566331,1.36986301369863,217.30567719099997,False,57.438276435718066,,False,8,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog08_seed0,0,rrt_star_asv,True,3.554052309472624,1.369863013698813,66.089727272,True,1.3095961944026815,,False,8,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog08_seed0,0,de2d_nurbs,True,3.4309428671723303,1.587207612242135,3.978150664999987,True,0.0,0.6861785734344662,True,8,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog08_seed0,0,pso2d_nurbs,True,3.565578125174959,1.549085783596836,5.809951646999934,False,0.1225097523104297,201.00062149016622,False,8,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog09_seed0,0,rrt_star,True,3.5014904785913883,,3.3044951739999533,True,0.0,,True,9,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog09_seed0,0,rrt_star_smooth,True,3.5014904785913883,,3.2894526560000372,True,0.0,,True,9,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog09_seed0,0,rrt_star_dubins,True,18.669780611950095,1.36986301369863,55.99219863500002,True,190.15912101753943,,False,9,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog09_seed0,0,modified_dubins_rrt_star_ccpoa,True,8.46157046566331,1.36986301369863,224.44633384199994,False,57.43844529850401,,False,9,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog09_seed0,0,rrt_star_asv,True,3.554052309472624,1.369863013698813,132.07111896499998,True,1.3095961944026815,,False,9,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog09_seed0,0,de2d_nurbs,True,3.428106521168057,1.5806631428363431,1.713875761000054,True,0.0,0.6856113042336115,True,9,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog09_seed0,0,pso2d_nurbs,True,3.526469760248374,1.524345270540207,5.965003073000048,False,0.10348273644524261,311.4187448354648,False,9,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog00_seed1,1,rrt_star,True,3.3501379426958025,,0.7938411549999955,True,4.853362585850391,,False,0,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
prog00_seed1,1,rrt_star_smooth,True,3.3501379426958025,,0.7961741350000011,True,4.853362585850391,,False,0,1.36986301369863,0.073,200,0.0,0.0,-1.4,-0.8,1.4,0.8,-2.1,2.1,-2.1,2.1
